,name,beer_style,brewery,rating,num_ratings,abv,date_added,beer_desc,not_available
0,Estimation,Altbier,Suarez Family Brewery,3.96,318,4.8% ABV,02/09/20,"A classic interpretation of the native Dusseldorf style. Burgundy in color and possessing deep notes of raisin, bran flake, and light treacle, yet with a snappy and crisp palate. The malt character is balanced with an amply bitter character achieved with early kettle additions of classic German low-alpha hop varietals.",
1,Bourbon Barrel Aged Balt The More,Altbier,Union Craft Brewing,3.94,490,10% ABV,07/18/15,"imited edition, 700 cans. Batch 500. A nod to the German tradition of the ""Sticke"" or ""Secret"" recipe Altair, this Sticke Alt has been aged in American Oak Whiskey barrels for 5 months. The result is a full-bodied Altbier with oak and vanilla notes to blend in harmony with the old world German malts and hops. Serve at 50°F.",
2,Barrel Roll No. 7 - Tailslide (2013),Altbier,Hangar 24 Craft Brewing,3.94,760,10.5% ABV,06/29/13,"It’s with heightened awareness that one attempts a maneuver as daring as the Tailslide, and with equal poise that we bring you this bourbon barrel-aged version of our popular 4th Anniversary Ale. Originally crafted as a doubled version of our alt-bier with a percentage of barrel-aged stout blended in, our Dopplesticke is now 100% conditioned in barrels to fully complement its substantial caramel malt profile. Abundant whiskey aromatics and spicy flavors blend pleasantly with the delicate esters of this strong ale, resulting in an ambitious balance of beer and spirit. - See more at: http://hangar24brewery.com/co_barrel_tailslide.htm#sthash.e3rJnUSF.dpuf",1.0
3,Amber Apple Pie Ale,Altbier,Frye Brewing,3.9,370,5% ABV,08/26/17,"This is a variation on the ""I DO"" Brew amber ale infused with baked granny smith apples soaked in cinnamon and brown sugar.",
4,subs.tân.ci.a antiga,Altbier,Latido Ale House,3.89,255,5% ABV,08/09/19,"Estilo alemão clássico, mas eternamente moderno e de alto drinkability, a Altbier subs.tân.ci.a antiga destaca os maltes Munich e Carafa Special III e o single hop do nobre e tradicional lúpulo alemão Tettnanger que traz um amargor limpo e assertivo, é leve e agradável, com notas picantes, aromas florais e herbais.",
5,Alt-eration (Bourbon Barrel Aged),Altbier,Hops & Grain Brewing,3.87,459,8.5% ABV,07/13/12,Aged in Makers Mark bourbon barrel,
6,DoppelSticky,Altbier,Lagunitas Brewing Company,3.87,"12,203",7.7% ABV,09/10/15,"This fruity, estery double altbier is brewed in the traditional-ish style of the Doppelsticke, which is the widely known secret Germanic-esque strong ale. Like it’s California Common counterpart, we fermented this ale at a lower temperature to pull out the sulphur-y bite from the yeast, then dry-hopped it with some dank, Sticky hops, including some brand-spankin’-new Enigma hops from the great Down Under!",
7,Stiegl-Jahrgangsbier 2014 Ferdinand,Altbier,Stieglbrauerei zu Salzburg,3.85,302,10% ABV,12/18/14,"The aroma of rum complements this copper-colored masterpiece, flowing from the first sip through to the aftertaste. An intense and lightly sparkling texture with hints of toffee, coconut, vanilla and caramel. The palate, already intoxicated with honey, experiences an explosion of flavour.",1.0
8,Uber Alt (Barrel Aged),Altbier,Rush River Brewing,3.84,154,10% ABV,10/27/17,,
9,Geistbier,Altbier,BrainDead Brewing,3.82,290,10.6% ABV,09/08/17,Our Fruhlingzeit Altbier aged in Witherspoon bourbon barrels. The most fitting beer to mark 10 years since our brewmaster first started washing kegs and cleaning draft lines at Morgan Street Brewing.,
10,Alpha Hop Society Scotch Barrel Aged Sticke,Altbier,Sierra Nevada Brewing Co.,3.82,175,8.8% ABV,02/20/17,German style ale aged in single malt scotch barrel,1.0
